Date,Open,High,Low,Close,Adj Close,Volume
10/03/2015,0.00558,0.00559,0.00554,0.00558,0.00558,0
17/03/2015,0.00557,0.00563,0.00547,0.00554,0.00554,0
24/03/2015,0.00549,0.00549,0.00539,0.00544,0.00544,0
31/03/2015,0.00548,0.0055,0.00545,0.00548,0.00548,0
7/04/2015,0.0055,0.0055,0.00542,0.00548,0.00548,0
14/04/2015,0.00548,0.00548,0.0054,0.00541,0.00541,0
21/04/2015,0.00544,0.00548,0.00543,0.00544,0.00544,0
28/04/2015,0.00544,0.00548,0.00541,0.00547,0.00547,0
5/05/2015,0.00547,0.00548,0.00539,0.00545,0.00545,0
12/05/2015,0.00544,0.00545,0.00537,0.00542,0.00542,0
19/05/2015,0.00537,0.00547,0.00537,0.00546,0.00546,0
26/05/2015,0.00548,0.0056,0.00548,0.00559,0.00559,0
2/06/2015,0.00563,0.00568,0.00554,0.00563,0.00563,0
9/06/2015,0.00569,0.00569,0.00556,0.00559,0.00559,0
16/06/2015,0.0056,0.00563,0.00554,0.00556,0.00556,0
23/06/2015,0.00557,0.00559,0.00542,0.00558,0.00558,0
30/06/2015,0.00558,0.00558,0.00548,0.00554,0.00554,0
7/07/2015,0.00554,0.00557,0.00548,0.00553,0.00553,0
14/07/2015,0.00554,0.0056,0.00554,0.00557,0.00557,0
21/07/2015,0.0056,0.00562,0.00556,0.00559,0.00559,0
28/07/2015,0.00557,0.00561,0.00555,0.0056,0.0056,0
4/08/2015,0.00558,0.00564,0.00556,0.00563,0.00563,0
11/08/2015,0.00566,0.00566,0.0055,0.0055,0.0055,0
18/08/2015,0.00554,0.00554,0.00525,0.00536,0.00536,0
25/08/2015,0.00523,0.00531,0.0052,0.00529,0.00529,0
1/09/2015,0.00531,0.00531,0.00522,0.00522,0.00522,0
8/09/2015,0.00524,0.00533,0.00524,0.00528,0.00528,0
15/09/2015,0.00526,0.00531,0.0052,0.00522,0.00522,0
22/09/2015,0.00524,0.00528,0.00524,0.00528,0.00528,0
29/09/2015,0.00527,0.00528,0.00523,0.00526,0.00526,0
6/10/2015,0.00525,0.00533,0.00525,0.00533,0.00533,0
13/10/2015,0.00528,0.00528,0.00521,0.00526,0.00526,0
20/10/2015,0.00527,0.00533,0.00527,0.00532,0.00532,0
