Date,Open,High,Low,Close,Adj Close,Volume
2016-06-07,16651.050781,16830.919922,16019.179688,16019.179688,16019.179688,617800000
2016-06-14,16001.190430,16082.500000,15395.980469,15965.299805,15965.299805,721900000
2016-06-21,15875.809570,16389.169922,14864.009766,15309.209961,15309.209961,768300000
2016-06-28,15094.709961,15805.309570,14987.790039,15775.799805,15775.799805,707400000
2016-07-05,15682.160156,15816.669922,15106.519531,15708.820313,15708.820313,663300000
2016-07-12,15961.299805,16607.320313,15956.910156,16497.849609,16497.849609,688700000
2016-07-19,16612.089844,16938.960938,16514.660156,16620.289063,16620.289063,590600000
2016-07-26,16535.810547,16821.429688,16174.349609,16635.769531,16635.769531,820000000
2016-08-02,16469.679688,16652.039063,15921.040039,16650.570313,16650.570313,718300000
2016-08-09,16632.410156,16943.669922,16630.560547,16869.560547,16869.560547,444100000
2016-08-16,16878.660156,16887.570313,16452.619141,16598.189453,16598.189453,575000000
2016-08-23,16549.820313,16764.640625,16320.429688,16737.490234,16737.490234,510100000
2016-08-30,16690.980469,17156.359375,16677.849609,17037.630859,17037.630859,629100000
2016-09-06,17035.029297,17097.589844,16601.539063,16672.919922,16672.919922,588800000
2016-09-13,16764.650391,16787.060547,16359.780273,16519.289063,16519.289063,459400000
2016-09-20,16403.220703,16823.630859,16399.650391,16544.560547,16544.560547,553500000
2016-09-27,16390.910156,16756.429688,16285.410156,16598.669922,16598.669922,615600000
2016-10-04,16661.509766,16971.279297,16637.820313,16860.089844,16860.089844,426300000
2016-10-11,16936.310547,17074.460938,16727.779297,16900.119141,16900.119141,543500000
2016-10-18,16862.310547,17288.890625,16844.169922,17234.419922,17234.419922,514600000
2016-10-25,17298.630859,17461.029297,17278.119141,17425.019531,17425.019531,639200000
2016-11-01,17380.539063,17473.119141,16801.980469,17177.210938,17177.210938,506000000
2016-11-08,17242.699219,17697.330078,16111.809570,17672.619141,17672.619141,1011400000
2016-11-15,17690.220703,18129.029297,17605.769531,18106.019531,18106.019531,837100000
2016-11-22,18091.050781,18482.939453,18050.550781,18356.890625,18356.890625,581200000
2016-11-29,18263.630859,18746.279297,18227.390625,18274.990234,18274.990234,810000000
2016-12-06,18457.199219,19280.929688,18318.990234,19155.029297,19155.029297,910800000
2016-12-13,19120.759766,19439.970703,19060.720703,19391.599609,19391.599609,690100000
2016-12-20,19367.839844,19592.900391,19327.509766,19396.640625,19396.640625,448900000
2016-12-27,19353.429688,19478.580078,18991.589844,19114.369141,19114.369141,469200000
2017-01-03,19298.679688,19615.400391,19277.929688,19454.330078,19454.330078,417100000
2017-01-10,19414.830078,19484.900391,19061.269531,19095.240234,19095.240234,595500000
2017-01-17,19038.449219,19176.859375,18650.330078,18891.029297,18891.029297,659400000
2017-01-24,18817.419922,19486.679688,18783.160156,19368.849609,19368.849609,634500000
2017-01-31,19145.349609,19199.750000,18830.890625,18976.710938,18976.710938,663300000
2017-02-07,18844.119141,19519.439453,18805.320313,19459.150391,19459.150391,606800000
